Word,Definitions
personality,person's character; the way that a person usually acts
match,a sports competition between two people or teams
parent,person's mother or father
material,substance from which a thing is made of
injury,physical or emotional harm or damage that a person experiences
illustration,picture that helps explain something
curtain,piece of cloth used to cover a window
flag,"piece of cloth, frequently marked with a colorful symbol or sign"
skirt,piece of clothing for the lower body worn by women
maybe,possibly but not certainly; perhaps
tissue,"piece of thin, soft paper"
gate,place in a fence which can be opened or closed
stomach,place in the body where food is broken down so your body can use it
measure,"to calculate size, weight or temperature of"
center,place in the middle of something
jail,place to hold criminals being punished for a crime
gallery,place to look at various types of art
medical,of or relating to physical health or medicine
home,place where a person or a family lives
medium,"middle size, something between other things"
intention,"plan, aim, or purpose"
program,planned set of actions; a schematic system
grass,"plants with narrow green leaves, grown on lawns"
memory,something that has been remembered
musical,play or movie set to music
mention,to refer to or talk or write about something
opera,play with music in which all the words are sung
proud,pleased because of something you have done
poetry,poetic writing; imaginative verses
tent,portable cloth shelter used outdoors
message,piece of information that is told/given to someone
approval,positive opinion of something or someone
implication,possible effects or results from an action or event
method,organized and planned way of doing something
middle,place that is halfway between two things
vessel,"pot, container"
mile,unit of distance; 1.6 kilometers
military,concerning soldiers or the armed forces
passion,"powerful, positive feeling about something"
mine,that thing that belongs to me
conservative,preferring traditional styles and values
minister,an official who heads a government department
cost,price you pay for something
matter,problem or reason for concern
formation,"process of creating, or making into a particular shape"
publication,process of producing a book or magazine
mix,to combine two or more things to make one
recovery,process of returning to a former state after problems
interaction,process of two or more people or things affecting each other
market,public event where people sell goods on tables
withdraw,pull back; move away or backward from something
modern,of the present time; up to date; contemporary
penalty,punishment for committing a crime or offense
justice,"quality of being fair, equal, or just"
humor,quality of being funny
beauty,quality of being physically or visually attractive
monitor,electronic screen on which you can see images
charm,quality of making people like you; attractiveness
darkness,quality of no or little light
stability,quality of not being easily moved or changed
weakness,quality of not being powerful or strong
moreover,in addition to what has been said
tendency,quality that something happens or someone behaves in a particular way
scope,range of things that something includes
mostly,in large part; mainly or chiefly
class,"rank or level in society, ranked from high (rich professional people) to low (ordinary people)"
resistance,refusal to accept something new or different
state,"region within a country, with its own government"
pension,regular payments you receive after you retire
job,regular work of earning money
emotional,related to deep feelings
mountain,"very high piece of land, higher than a hill"
mouth,part of the face used for eating and talking
academic,related to education or school; (n) educator who works at a college or university
movement,part of a piece of music
movie,motion picture; film
criminal,related to illegal activity; (n) a person who has done a crime
scientific,related to science
murder,crime of deliberately killing a person
romantic,related to strong feelings of love between two people
museum,"building to display art, science, or history objects"
clinical,related to the examination and treatment of patients
structural,related to the way something is built or organized
local,"relating or restricted to a particular area, city, or town"
racial,relating to a person's group based on inherited physical appearance
myself,same person as did the action mentioned
rural,"relating to parts of a country that are outside towns and cities, with fields, woods, etc."
educational,relating to teaching in a school
fundamental,relating to the most important parts of something
nation,area or region controlled by a government and army
national,concerning a nation as a whole
presidential,relating to the president
natural,not made by humans; without human intervention
calm,relaxed and not worried or angry
nature,"physical world, including plants, animals, rocks"
near,with a small distance between things
inquiry,request for information
nearly,not completely; almost
necessarily,"in a way that is needed or required, or is unavoidable"
necessary,needed or required; unavoidable
honor,respect given to someone who is admired
permission,right to do something as allowed by another
high,rising upward a great distance
moon,round object circling the earth at night
guideline,"rule, instruction, or principle"
neighbor,"person who lives, or is near, you"
grammar,rules that explain how words are used in a language
acceptable,satisfactory; good enough
too,say that something is more than you want
network,system of connections
complaint,saying something is wrong and should be changed
autumn,"season when the weather is getting colder, between summer and winter"
news,information about recent events
newspaper,sheets of paper (or online) containing news stories
paragraph,section of writing that usually deals with one subject
nice,good or enjoyable
grain,seeds of plants used for food
period,set amount of time during which events take place
nobody,no person; no one; not any person
nor,used to show two things that are both untrue or do not happen
normal,standard or regular way of doing something
normally,in the manner that is usual or ordinary
north,direction to your left when facing the rising sun
religion,set of beliefs about a god or gods
system,"set of organized, planned ideas that work together"
apartment,set of rooms to live in on one floor of a building
mutual,shared between two or more people
notice,"to become aware by sight, touch, or hearing"
essay,short written work that displays someone's opinions or beliefs regarding a particular subject
episode,show which is part of a larger story
novel,written fiction story
alongside,side by side with something
plain,simple; easy to understand; clear
aunt,sister of your father or mother or the wife of your uncle
nuclear,concerning or involving the center of an atom
mere,small and unimportant
town,small city
nurse,person trained to care for sick or injured people
object,to disagree; to protest against an idea or plan
objective,something you decide you want to do; goal
pocket,small cloth bag sewn into clothing to hold things
stamp,small piece of paper you buy to put on a letter that you mail
observe,to watch carefully; to make a comment
obvious,easily understood and clear; plain to see
obviously,in a way that is obvious/easy to see or understand
bit,small piece of something
stream,small river
occur,to come to pass or to happen
cap,"small, soft hat often with a front visor or shade"
less,smaller in amount or degree
cheek,"soft skin on each side of the face, below the eyes"
snow,soft white pieces of frozen water falling from the clouds
answer,solution to a problem or test question
officer,person with an important position in an organization
official,of or done by someone in authority; formal
part,"some, but not all of a specific thing"
oil,"thick, black liquid in the ground used as fuel"
okay,yes; alright
prisoner,someone kept in a prison as punishment for a crime
dealer,someone who buys things to sell to others
designer,someone who creates plans to make something
pro,someone who earns money doing something they are particularly good at
buyer,someone who gets something by paying money for it
politician,someone who is active in politics
slave,someone who is legally owned by another person
operate,to be working or being used
operation,functioning; use
shareholder,someone who owns a part of a corporation
opinion,a person's thoughts on a topic
opportunity,time/situation when a thing might be done; chance
opposite,across from or on the side facing something
listener,someone who pays attention to what is said
option,possibility out of several that can be chosen; choice
historian,someone who studies or writes about the course of history
ally,"someone who supports, helps, or defends you"
operator,"someone who uses and controls something, usually equipment"
enemy,someone who wants to harm another
organization,formal group of people with a particular purpose
volunteer,someone who works willingly without pay
mate,"someone who you work, live, or go to school with"
otherwise,"indicates that there will be a bad result if something is done, not done, or done improperly"
ought,what is expected; should
reporter,"someone whose job is to write and report news for a newspaper, magazine, television, or radio station"
stranger,someone you do not know
supplement,something added to another thing to make it better
variation,something almost the same as another but different
problem,something difficult to deal with or causes trouble
outside,"area around or near something, such as a building"
other,something else; not the first one
overall,"viewed as a whole; in general, not as details"
luxury,something expensive or costly that is not needed which is bought for pleasure
achievement,something good that you have successfully done
mixture,something made by combining two or more things
impressive,something makes someone admire or respect
owner,person who owns or has something
time,"something measured in minutes, hours, days, etc."
pack,to put things in a suitcase to go on a trip
page,one side of a sheet of paper
pain,strong feeling of hurt or discomfort
paint,to apply something; coat
exception,something not included in or different from a group of things
hat,something people wear to cover their heads for fashion or protection
paper,pages of a book are made from this
classic,something popular or famous for a long time and is considered one of the best of its kind
biological,something related to life and living things
disaster,something that causes a lot of harm or damage
park,to put your car or bike in a certain place for a time
burden,"something that causes worry, difficulty, or hard work"
participate,to take part with others in doing something
incentive,something that encourages a person to work hard
particular,one specific (one)
particularly,specially; more than others
smooth,something that feels pleasant and flat when you touch it; not rough
partner,someone you have a business or personal relationship with
outcome,"something that happens as a result, consequence"
pass,to travel through or near a place
composition,something that is created from different parts to make something new
priority,something that is important and must be done before other things
path,track made with stones/by walking over the ground
patient,not getting annoyed when things take a long time
pattern,regular repeated behavior
pause,to stop doing for a while before continuing
fact,something that is known or proved to be true
payment,amount of money that is paid for something
peace,time when there is no war or fighting
preference,something that is liked or wanted more than another
compound,something that is made from two or more other things
prize,something that is won in a contest or given as an award
constraint,something that limits or prevents someone or something from moving
indication,something that signals that something else exists or will happen
obligation,something that you do because it is your duty or because you feel you have to
visual,something to look at with the eyes
percent,one one-hundredth of a whole
percentage,part of a whole divided into hundredths
perfect,so good it/they cannot be improved
assumption,"something you believe to be so, but aren't sure of"
perform,to carry out an action well or successfully
performance,activity done to entertain an audience
perhaps,"possibly, but not certainly; maybe"
thing,something you cannot remember the name of
pen,something you write with that uses ink
rather,somewhat; fairly; not that much
personal,done by or to a particular person; individual
tone,sound of a voice that shows emotion or meaning
alarm,sound or light used for a warning or to wake someone
music,sounds that are sung or played to give pleasure
perspective,"way of thinking, an attitude toward something"
representation,speaking or doing something officially for another person
celebration,special event where people show the importance of something
ceremony,special social or religious event
phone,to talk to someone using a telephone
photo,short for photograph; a picture taken by a camera
gear,"special supplies, tools, or clothes needed for a particular activity; machinery that turns power into forward or backward movement"
physical,concerning the body of a person
rate,speed or frequency of events over time
pick,to decide on a thing from various choices; select
picture,"painting, drawing or photograph on paper or screen"
piece,small part that of something larger
championship,sports competition to find the best player or team
from,"starting at a particular place, time, or level"
ease,state of being comfortable or relaxed
gender,state of being male or female
attendance,state of being present at a place or event
existence,"state of being present, alive, or real"
comfort,"state of being relaxed, warm, or happy"
exposure,state of experiencing something directly
plane,an airplane
happiness,state of feeling pleased; feeling of satisfaction
plant,living thing with leaves and roots growing in soil
complexity,state of having many parts and not being simple
diversity,state or quality of having a range of different things
stair,steps that go from one level to another
player,person who plays sports
tale,story about colorful and imaginary events
please,you say this when you politely ask people for things
pleasure,"feeling of happiness, enjoyment, or satisfaction"
plus,having a value greater than zero
side,straight edge of an object
guitar,stringed musical instrument played with the fingers
attachment,strong affection for someone
barrier,structure or object that stops free movement
philosophy,study of ideas about the fundamental nature of life
police,"people, often in uniforms, who solve crimes"
history,study of past event
mathematics,study or science of numbers and shapes
politics,activities influencing the policies of a government
dramatic,sudden and extreme
flash,sudden bright light
pool,large container or hole that is filled with water and used for people to swim in
poor,without money; not rich
pop,to cause something to open or burst suddenly
popular,liked or enjoyed by many people
formal,"suitable for serious, official, or important occasions"
number,"symbols such as 1, 2, 56, 793"
lecture,talk or speech about a particular subject
position,specific location where someone or something is
positive,"good or useful in qualities, constructive, confident"
sweet,tasting like sugar; containing sugar
examination,"test of your knowledge of, or ability in something"
possibility,something with a chance of happening or being true
exam,test of your knowledge or ability in something
possibly,"may be true or likely, but is uncertain"
post,to send a letter or package using the post office
potentially,that could happen or become reality
concentration,the ability to direct all your effort and attention on the one thing you are doing and nothing else
potential,capable of happening or becoming reality
imagination,the ability to think of new ideas or things that are not real
pound,unit of weight equal to 16 ounces or 0.4536 kg
selection,the act of carefully choosing something or someone from a group
entry,the act of going into some place
immigration,the act of moving from one country to another for good
powerful,having control or influence over
practice,to do something many times to improve a skill
bath,the cleaning of a body by putting it completely into water
shower,the cleaning of a body by standing under falling water
east,the direction where the sun rises
measurement,the finding of the size or amount of something or someone
predict,to guess or estimate what will or might happen
prefer,to like something better than something else
chest,the front of your body between your neck and your waist
outline,"the main ideas or facts about something, without the details"
king,the male ruler of a country that has a royal family
meat,the muscles and soft parts of animals or birds that is eaten as food
unemployment,the number of people in an area who want to work but do not have a job
prepare,to make something ready for use
ear,the part of the head that you hear with
half,the part you get when one is divided into two; ½
I,the person who is speaking or writing
prospect,"the possibility that something might happen in the future, especially something good"
press,to push something against something else
pressure,force/weight when pressing against a thing
discipline,the teaching of self-control through instruction and practice
narrative,the telling of a story
pretty,being attractive to the eye in a simple way
prevent,to stop something from happening or existing
previous,existing or happening before the present time
previously,at an earlier time
peak,"the time or place when something or someone is best, greatest, highest"
diet,the type of food that a person or animal usually eats
self,the type of person you really are
primary,"most important, most basic or essential"
consequently,therefore; as a result of something
string,thin rope
wire,"thin, flexible thread of metal"
book,thing made of pages with writing on that you read
anything,thing of any kind; used to refer to a thing in questions
private,personal; not to be seen by everyone
something,thing that is not yet known or named
brush,thing used to comb your hair or to clean the floor
view,things you are able to see from a specific place
clothing,things you wear on your body
careful,thinking about what you are doing in order to avoid a mistake
future,time that is to come after the present
procedure,usual or standard way in which something is done
proceed,to continue to do something; carry on
pregnancy,time when a female is going to have a baby
produce,to manufacture something using machines
retirement,time when someone has stopped working because of their age
production,process of making something on a large scale
night,time when sun does not shine
deeply,"to a great, intense, or extreme extent"
submit,to accept a superior force has power over you
profit,to earn money from something
acknowledge,to accept that something is true
progress,to move forward or toward a place or goal
project,a planned piece of work for specific purpose
promise,to say you will certainly do something
promote,to try to encourage the popularity and sales of a product
pretend,to act as if something is true when it is not
behave,to act in a particular way; to act correctly
help,to act to enable a person to do something; assist
proper,correct according to social or moral rules
do,to act; to perform actions
proposal,offer or plan to people who can decide about it
propose,to offer or put forward an idea for consideration
process,to adopt a set of actions that produce a particular result
protect,to defend someone or something from harm or danger
protection,being kept from harm
crack,to almost break something
seem,to appear to be something
prove,to demonstrate truth by providing evidence
question,to ask for or try to get information
bless,to ask the gods to protect someone or something
spell,"to be able to say, write, or print the letters that make up a word"
can,to be able to; have the skill to; have the time to
live,to be alive
attach,to be associated or connected with
feel,to be aware of or experience an emotion or sensation
pull,to hold something and move it toward you
hear,to be aware of sound; to perceive with the ear
purchase,to buy something; to get by paying money for it
exceed,to be greater in number than something
purpose,reason for which something is done; aim; goal
sit,to be in a resting position on a chair
push,to force something away from you
remain,"to be left behind, to continue to exist"
differ,to be not the same as others
regret,to be sorry about something
quality,high level of worth or excellence
result,to be the outcome of other causes and effects
quarter,one of four equal parts of something
lose,to be unable to find something you once had
quick,using very little time; moving far in little time
quickly,without taking a lot of time; fast
quiet,not loud; making very little sound
need,to be unable to manage without something; require
stand,to be upright; not be sitting or lying down
quote,to use someone's exact words in your writing or speech
freeze,to become hard because of very cold temperatures
recover,to become healthy after an illness or injury; to get better
radio,system for sending and receiving signals through the air
disappear,to become impossible to see
rain,drops of water that fall out of clouds in the sky
raise,"to increase a quantity, size, intensity or price"
undertake,"to begin or attempt, commit oneself to and begin"
range,limits within which something extends or varies
become,to begin to be; grow to be; develop into
arise,"to begin, to start to happen"
react,to behave or make a change in a particular way
expect,to believe something is probably going to happen
reckon,to believe that something is true or possible; to calculate or guess
lean,to bend or move someone's body in a particular direction; (adj) very little fat
burst,to break in a sudden and violent way
split,to break something into pieces or divide something
sigh,to breathe out in a way to show boredom or disappointment
remember,to bring a previous image or idea to your mind
import,to bring items or goods from one country into another
reaction,feeling or action in response to something
construct,to build or create something
reader,person who reads written or printed materials
insure,to buy protection against possible loss or injury
reality,"what is true, as opposed to what is imagined"
realize,to become aware of or understand mentally
love,to care for and like someone very strong and deeply
send,to cause mail or package to go to another place
embarrass,to cause someone to feel uncomfortable about something
reasonable,fair and sensible; appropriate
move,to cause something to change to a different place
recall,to remember events or details of the past
convert,"to change form, character, or function to another"
recent,happening or beginning not long ago
recently,just a while ago; not long ago
update,to change something by adding the most recent information
adapt,to change something to fit or suit a new purpose
recognize,to remember because you have met it before
recommend,to say something is good and deserves to be chosen
transform,to change the shape of something completely
translate,to change words from one language into another
edit,to check and makes changes before publication
red,being the color of blood
reduce,to make something smaller or use less of it
wipe,to clean or dry something with a cloth
refer,to talk about or write about something
reference,to cite a piece of research in speech or in writing
shut,to close something
reform,to improve society by removing abuse and injustices
integrate,to combine together; make into one thing
refuse,to say that you will not accept something
regard,to pay attention to someone or something
follow,to come after someone; be guided by someone
return,to come back to a place again
register,to record your name on an official list; sign up
reach,to come to or arrive at a goal or destination
meet,to come together at a certain time or place
regular,occurring or being done frequently
cluster,"to come together to form a group of people, animals, or things"
compose,to come together to form or make something
regulation,official rule that controls how something is done
relate,to understand or sympathize with someone or something
relationship,"manner in which people, groups or countries behave toward one another"
relative,measured or considered in comparison to something else
relatively,in a manner that measures or compares something to something else
eliminate,to completely remove; to get rid of
retain,to continue to have or use something; to keep
religious,concerning religion or faith
drive,to control a vehicle so that it moves somewhere
wrap,to cover something on all sides with a piece of material or paper
make,to create something by putting things together
invent,to create something useful for the first time
remind,to make someone remember something
cope,to deal successfully with a difficult problem
remove,"to move, erase or take away from a place"
rent,to pay money for the use of something
devote,to decide to use or give something for something else
repeat,to say something again
replace,to use instead of something else
reply,answer someone's question
want,to desire or wish for something; hope for a thing
price,to determine or set the cost of something
representative,typical of a particular group or thing
request,to ask for something
require,"to need something, to make it necessary"
requirement,something that is a necessity
weigh,"to determine the weight of, using scales"
research,to carefully study to find and report new knowledge
grow,to develop and become bigger or taller over time
resident,someone who lives in a particular place
derive,to develop or get something from something else
control,to direct or influence the behavior of something
detect,to discover or identify the presence of something
find,to discover something by looking for it
consult,to discuss something to make a decision
exhibit,to display or make available for people to see
resource,essential supply of something
respect,to think very highly of another person because of what they do
play,to do or perform a game or sport
respond,to say or write to answer the question
response,something said or written as an answer to something
responsibility,state of being dependable or reliable
responsible,having the duty of dealing with something; being the cause or creator of something; behaving in a mature and reasonable manner
rest,"time when one relaxes, sleeps, or is inactive"
restaurant,"place where you can order, buy and eat a meal"
fulfill,to do something that was promised or required
rush,to do something very quickly
use,"to do something with, for a task or purpose"
continue,"to do something without stopping, or after pausing"
begin,to do the first part of an action; to start
solar,"to do with the sun, like sunlight or the heat from the sun"
consume,"to eat, drink, buy or use up something"
be,To exist; to be alive; used to give information about someone or something
anticipate,to expect or look ahead to something positively
reveal,"to make known, to show or prove"
revenue,money that is made by or paid to a business
undergo,"to experience something, often bad"
review,to carefully look at the quality of something
show,to explain or teach how something is done
praise,to express approval of something or someone
protest,to express opposition through action or words
neglect,to fail to take care of something
rich,"having a lot of money, possessions, or resources"
admire,to feel respect or wonder toward someone
ride,to sit on and control a horse or vehicle
occupy,"to fill a time, a space, or an area"
rise,to move from a lower position to a higher one
risk,to take the chance that you may do something dangerous
river,flowing water that runs from mountains to the sea
road,long piece of hard land for cars to travel on
rock,"big stone; hard, solid substance forming mountains"
role,character played by an actor
roll,to move along a surface by turning many times
resolve,to find an answer or way to handle a problem
calculate,to find an answer using mathematics
root,part of a plant that grows underground
compute,to find out by calculating or estimating
like,to find something pleasing; to prefer something
round,being in the shape of a circle or ball
route,way to get from one place to another place
trace,"to find, describe or discover by investigation"
stop,to finish moving or to come to an end
repair,to fix something that is broken; fix
rule,statement that says how things should be
study,to focus on learning something usually at school
specialize,to focus on one area of a field or profession
chase,to follow and try to catch someone or something
safe,being out of danger
safety,state of being free from harm or danger
pursue,to follow and try to catch something; to try to get something
cough,"to force air through your throat with a short, loud noise"
evaluate,to form an idea to judge something carefully
poll,to get information by asking many people questions about a particular subject
learn,to get knowledge or skills by study or experience
recruit,"to get people to come and work, join, or study with you"
buy,to get something by paying money for it
receive,to get something that someone has given or sent to you
deserve,to get the appropriate reward or punishment for the way you behaved or something you did
satisfy,to be happy because you met your expectation
save,to rescue someone or something from a bad situation
qualify,to get the necessary skill or knowledge to do a particular job or activity
scale,a device that is used to weigh a person or thing
persuade,"to get you to do/believe something, by giving reasons"
excuse,to give a reason to explain why you did something
scene,part of an act in a play
schedule,to arrange a time to do something with others
scheme,often dishonest plan to get or do something
communicate,to give and exchange information
support,to give assistance or advice to someone
science,knowledge of the physical world based on facts
pay,to give money for goods or work done
deal,"to give out (cards, etc.) to; distribute"
score,to get points in a sport such as kicking a ball into a goal
justify,to give reasons why you did something or why it is right
screen,"flat surface on a computer, or tv that shows images"
sea,place with a large amount of salt water
assign,to give someone a particular job or something to do
search,to carefully look for something
season,one of the four parts of the year determined mainly by the weather during that time
reward,to give something to someone because of their good work
offer,to give the opportunity to accept something
entitle,to give the right to do or have something to someone
section,one of the parts that form something
sector,area that includes certain kinds of job
secure,"to protect something from danger or harm, keep things safe"
lend,to give to someone for a while before it is returned
yield,to give way to someone or something else
seek,to search for; to try to find; look for
dedicate,"to give your energy, time, etc., completely to someone"
sink,"to go down below the surface of water, mud, etc."
select,"to choose from a group, something most suitable"
reverse,to go in the opposite direction
accompany,to go somewhere with someone
sell,to exchange something for money
visit,"to go to a place for a time, usually for a reason"
senior,having higher status or authority than another person
sense,"to perceive using sight, sound, taste touch or hearing"
develop,"to grow bigger, more complex, or more advanced"
sentence,set of spoken or written words that make a whole statement
separate,"to divide into parts, or to make something divide into parts"
distribute,to hand in or deliver something to people
series,number of things that happen one after another
serious,needing thought or concentration; important; in a sober manner
give,to hand over or present something to someone
serve,to give or provide something to another person
disagree,to have a different opinion from someone
negotiate,to have a formal discussion to reach an agreement
settle,to move to a new environment and become accustomed to it
mean,to have a particular meaning or value
think,"to have an idea, opinion, or belief about something"
keep,to have and continue to hold something
sex,state of being male or female mostly biological
dare,to have enough courage to do something
know,to have knowledge of things in your mind
shake,to move something violently back and forth or up and down
shall,"expressing the future tense, to expect to happen"
shape,"outer form of something, what it looks like"
involve,to have or be included as a part of something
encounter,"to have or experience something, often unpleasant or difficult"
possess,to have or own something
dominate,to have power or influence over
correspond,to have similarity or equality with something
assist,to help
boost,to help increasing progress or growth
sponsor,to help someone or something succeed by giving them money
shift,to change in position or direction
crash,to hit something hard enough to cause serious damage
ship,large boat
shock,sudden bad feeling caused by something unexpected
shoot,to kick or throw a ball at a goal
shop,place which sells things
tap,to hit something lightly
short,small distance from one end to the other
knock,to hit something to get people's attention
embrace,to hold someone closely
harm,"to hurt, damage, or cause problems"
incorporate,to include or involve as part of something else
point,to indicate something with your finger to others
unite,to join or come together as one
isolate,to keep in a place or situation apart from others
preserve,to keep something in an unchanged or perfect condition
understand,"to know the meaning of language, what someone says"
significant,large enough to be noticed or have an effect; important
resign,to leave a job because you want to
abandon,to leave someone or something you are responsible for and not return
allow,to let or permit someone do something
underlie,to lie or exist beneath
counsel,to listen and give expert advice to someone
similar,nearly the same
simple,not hard to understand or do; not complex
simply,in an easy or clear manner
care,to look after someone or something
sing,to make musical sounds with your voice
single,"only, merely"
read,to look at and comprehend the meaning some writing
watch,to look at carefully to work out what is happening
sister,female you share a parent with
stare,to look at someone or something for a long time
glance,to look at someone or something quickly
situation,"condition, location or position"
size,how big or small a thing is
scan,to look within something for a particular person or thing
skill,ability to do something well
fade,to lose strength or freshness
service,to maintain a piece of machinery so it runs well
sleep,"to rest your body in bed, as at night time"
sustain,"to maintain, lengthen or continue to do something"
alter,to make a change to something
decide,to make a choice about something or choose after thinking
slightly,concerning a small quantity or degree
boom,to make a deep hollow resonant sound
pour,to make a liquid flow from one container into another
slow,moving or happening without speed; not fast
swear,to make a serious promise to do something
scream,to make a sudden loud cry
bet,to make an agreement on the results of an event where the losers give something (usually money) to the winner
smoke,to breathe in through a cigarette and then blow it out
try,"to make an effort, to attempt to do something"
provide,to make available; to supply for use
shine,to make bright light
craft,to make by hand and with much skill
society,community of people living together
revise,to make changes to improve something
software,market for software is expected to expand
note,to make mention of something; to make a remark
soldier,person who is in the military
complicate,to make more difficult
solution,something that ends a problem
solve,to find a way to deal with a problem
change,"to make or become different, or into something else"
somebody,person who is not known or named
increase,to make or become something larger in size or amount
someone,person who is not known or named
regulate,to make rules or laws to control something or someone
sometimes,only at certain times; occasionally
impress,to make someone admire or respect another person or thing
somewhere,at or to an unknown or unnamed place
son,male child; friendly way of addressing a boy
song,some music with words in verse
frighten,to make someone afraid or nervous
sorry,what you say to admit you were wrong
trick,to make someone believe something that is not true
motivate,to make someone excited about doing something
source,produces or provides what is wanted or needed
south,direction that is the opposite of north
scare,to make someone feel frightened or worried
space,empty area with nothing in it
depress,to make someone feel very sad; to reduce the value of something
inspire,to make someone have the desire to do something
speaker,person who makes a speech before a group
special,different from what is usual; better or greater than normal
anger,"to make someone mad, upset, or annoyed"
bore,to make someone not interested in something
interest,to make someone want to know about something
specific,special or particular; clearly presented or stated
speech,expression of ideas or opinions
speed,quality of being fast or quick
include,to make someone/something part of a group
enhance,to make something better; to improve
stretch,to make something bigger or looser by pulling on it
spirit,part of a person that is not physical and believed to be the source of human emotions and character
cause,to make something happen; create effect or result
ban,to make something illegal or not allowed
sport,game or physical exercise with rules
spot,see someone by chance
spread,to place something over or cover a large area
spring,time of year when plants start growing after winter
bend,to make something not straight; make into a curve
seal,to make something so that it does not leak air or water
staff,employees of a company
stage,place where actors or musician perform for others
trigger,to make something start happening
strengthen,to make something stronger
confuse,to make something unclear or hard to understand
assure,to make sure that something happens
level,to make things flat or even
standard,accepted level of quality; an official measurement
star,a bright planet of gas in the night sky
constitute,to make up or be part of something
comprise,to make up or form something
pump,to make water or any other liquid move using a machine
statement,act or process of saying something formally
station,place where you can catch a train or a bus
status,position or rank relative to others in a society
create,"to make, cause, or bring into existence"
stain,to mark or change the color of something so it looks dirty
step,flat horizontal piece that forms stairs
stick,long thin piece of wood from a tree
greet,to meet someone with friendly words and actions; to welcome
suggest,to mention something that could be done; propose
cite,to mention the work of others in your writing
stone,"hard, solid piece of rock"
stir,to mix something by making circular movements in it with a tool
breathe,to move air into and out of your lungs
store,place where you can go to buy things
wander,to move around without purpose
leap,to move forwards often in big steps
straight,"not having curves, bends, or angles"
dig,to move material to create a hole
strange,unusual or odd; surprising because unexpected
fold,to move one part of something so that it lies on top of another part
strategy,careful plan or method for achieving a goal
put,to move or place a thing in a particular position
street,road in a city with buildings and places to walk
strength,being strong
go,to move or travel to another place
stress,to be in a state of mental tension due to problems
hurry,to move quickly
slide,"to move smoothly and easily, usually over a surface"
strike,to hit something
swing,to move smoothly backwards and forwards or from side to side while hanging from something
come,to move toward someone; go with someone
walk,to move with your legs at a slowish pace
strong,having big muscles; physically powerful
run,to move your legs faster than walking
struggle,to try very hard to do something difficult
owe,"to need to pay money to a person, bank, business, etc."
rid,to no longer be wanted so you throw it away
stuff,"generic description for things, materials, objects"
disappoint,to not meet the expectations of others or yourself
let,to not stop someone from doing something
perceive,to notice or become aware of something
distinguish,to notice the difference between two or more things or people
get,"to obtain, receive, or be given something"
appoint,"to officially choose a person for a job, position"
success,achievement of a desired purpose or goal
successful,having the desired effect or result
govern,to officially control and lead an area
mount,to organize and begin an action; to attach to a support
suddenly,in an unexpected or very quick manner
suffer,"to experience pain, illness, or injury"
have,"to own, possess, or hold something"
call,to phone someone
take,to pick up something and go away with it
suggestion,idea about what someone should do
suit,to be appropriate for a given situation
situate,to place someone or something in a particular place or position
sum,amount when all is added together; total
click,to press a button
summer,part of the year when the weather is hot
sun,the hot shining star the earth moves around
bite,to press down on or cut into something with the teeth
restrict,to prevent from doing something
supply,to give or sell goods to others for their use
exclude,to prevent someone from access to a group
suppose,to imagine or guess what might happen
breed,to produce baby animals of specific kinds
defend,to protect against an attack
surface,of the top layer; superficial
input,"to put in information, advice, or opinions"
surprise,to do something that another person didn't expect
restore,"to put or bring back into existence or use, mend"
surround,to be on every side of something
survey,to ask people a question about a particular topic
pose,to put someone in a position to be photographed
survive,to continue to live despite illness or trouble
place,to put something in a certain location or position
bury,to put something into the ground and cover it
grab,to quickly reach out and take something in your hand.
borrow,to receive something from someone and later return it
sweep,to remove dust or dirt from a surface with a broom or brush
swim,to move through water by moving parts of the body
interpret,to repeat what was said in another language
rescue,to save something from danger or harm
remark,to say an opinion or make a comment about something
table,raised flat surface
value,to say how much money something is worth
tell,to say or communicate information to someone
joke,to say or do things that are meant to be funny
blame,to say someone is responsible for something bad
damn,to say someone should be punished for their bad behavior
declare,to say something in an official or sure way
apologize,to say sorry because of a mistake or injury you made
accuse,to say that someone has done something bad or wrong
tape,to stick things together using an adhesive strip
target,a goal or amount you are trying to achieve
task,big or small piece of work someone has to do
tax,money taken by a government from its people
taxi,car that transports people for money
tea,drink made when you put dried leaves in hot water
teach,to help someone learn or do something
teacher,"person who teaches others, especially in a school"
team,group of people working on a task together
technical,of practical use of machines or science in industry
technique,way of doing by using special knowledge or skill
telephone,machine used to talk to someone who is far away
criticize,to say that someone or something is bad
talk,to say things or ideas to someone with words
tend,to regularly behave in a certain way
ask,to say to someone that you want something
steal,to secretly take something that belongs to another
broadcast,to send out signals by radio or television
dismiss,to send someone away
cast,"to send, throw, or move something or someone in a direction"
break,"to separate into pieces by force, or by dropping"
install,to set up a piece of equipment so that it is ready to use
expose,"to show something that is usually hidden, covered, or protected"
lead,to show the way or guide others
slip,to slide out of position or fall to the ground by accident
text,written part of a book or other work
evolve,to slowly change or develop into something better
grin,to smile a big smile
shout,to speak very loudly because you want to get their attention
ruin,"to spoil something, to make it useless"
theater,place where shows are performed on a stage
theme,main subject to discuss or describe
themselves,reflexive form of they
implement,to start and carry out a plan or government policy; (n) tool
found,to start something such as a company or organization
summarize,to state the main or most important ideas of something
allege,to state without proof
therefore,for that reason
specify,"to state, name, or mention exactly and clearly"
float,to stay on the surface of a liquid and not sink
