Lemma,SFI Rank,SFI,Adjusted Frequency per Million (U)
comprehensive,2384,54.35,27
incentive,2385,54.35,27
league,2386,54.33,27
dialog,2387,54.33,27
cream,2388,54.33,27
rapid,2389,54.32,27
cancel,2390,54.32,27
regret,2391,54.32,27
dismiss,2392,54.32,27
margin,2393,54.32,27
beneath,2394,54.32,27
opponent,2395,54.31,27
resist,2396,54.3,27
capability,2397,54.3,27
absolute,2398,54.3,27
correspond,2399,54.3,27
stroke,2400,54.3,27
dare,2401,54.3,27
barrier,2402,54.3,27
rid,2403,54.29,27
divorce,2404,54.27,27
ruin,2405,54.26,27
bury,2406,54.26,27
counsel,2407,54.26,27
tendency,2408,54.26,27
frequent,2409,54.26,27
motor,2410,54.25,27
survival,2411,54.25,27
counter,2412,54.25,27
possess,2413,54.25,27
permission,2414,54.24,27
valley,2415,54.24,27
float,2416,54.24,27
mad,2417,54.24,27
greatly,2418,54.23,27
visible,2419,54.23,26
electric,2420,54.23,26
impressive,2421,54.22,26
evolution,2422,54.21,26
awareness,2423,54.21,26
violent,2424,54.21,26
slave,2425,54.21,26
wealthy,2426,54.21,26
architecture,2427,54.21,26
acceptable,2428,54.21,26
journal,2429,54.21,26
coal,2430,54.21,26
measurement,2431,54.21,26
random,2432,54.21,26
successfully,2433,54.19,26
depress,2434,54.19,26
illustration,2435,54.18,26
burst,2436,54.18,26
privilege,2437,54.18,26
buyer,2438,54.18,26
mutual,2439,54.18,26
rail,2440,54.17,26
motivate,2441,54.16,26
laboratory,2442,54.15,26
mortgage,2443,54.15,26
promotion,2444,54.14,26
passion,2445,54.14,26
champion,2446,54.13,26
fulfill,2447,54.13,26
dust,2448,54.13,26
dedicate,2449,54.12,26
roughly,2450,54.12,26
skirt,2451,54.12,26
province,2452,54.12,26
march,2453,54.11,26
evaluation,2454,54.11,26
compromise,2455,54.11,26
accomplish,2456,54.11,26
weakness,2457,54.11,26
announcement,2458,54.11,26
salt,2459,54.11,26
glance,2460,54.1,26
opera,2461,54.1,26
contest,2462,54.1,26
brush,2463,54.1,26
embarrass,2464,54.09,26
gallery,2465,54.09,26
genetic,2466,54.09,26
aggressive,2467,54.09,26
chest,2468,54.09,26
format,2469,54.08,26
literary,2470,54.08,26
govern,2471,54.08,26
embrace,2472,54.06,25
praise,2473,54.05,25
silent,2474,54.05,25
pump,2475,54.04,25
publisher,2476,54.04,25
celebration,2477,54.04,25
golf,2478,54.04,25
compensation,2479,54.04,25
classical,2480,54.04,25
weigh,2481,54.03,25
versus,2482,54.03,25
deficit,2483,54.02,25
modify,2484,54.02,25
flash,2485,54.02,25
friendship,2486,54.02,25
profession,2487,54.01,25
literally,2488,54.01,25
equation,2489,54.01,25
gesture,2490,54.01,25
entertain,2491,54,25
fantastic,2492,54,25
assign,2493,54,25
inflation,2494,54,25
historic,2495,54,25
injure,2496,53.98,25
remote,2497,53.98,25
therapy,2498,53.97,25
orange,2499,53.97,25
twist,2500,53.97,25
personnel,2501,53.97,25
imagination,2502,53.96,25
disagree,2503,53.96,25
throat,2504,53.95,25
insight,2505,53.94,25
tackle,2506,53.94,25
forever,2507,53.93,25
exceed,2508,53.93,25
expenditure,2509,53.93,25
joy,2510,53.92,25
pregnant,2511,53.91,25
reliable,2512,53.91,25
gear,2513,53.91,25
click,2514,53.91,25
poet,2515,53.91,25
fortune,2516,53.91,25
ceremony,2517,53.9,25
pile,2518,53.9,25
pig,2519,53.89,25
mixture,2520,53.89,25
automatically,2521,53.88,24
scholar,2522,53.87,24
psychological,2523,53.87,24
dramatically,2524,53.87,24
stake,2525,53.87,24
creature,2526,53.87,24
partnership,2527,53.87,24
participation,2528,53.86,24
clause,2529,53.86,24
penalty,2530,53.86,24
chamber,2531,53.86,24
fancy,2532,53.86,24
poetry,2533,53.86,24
chat,2534,53.85,24
clothing,2535,53.85,24
evolve,2536,53.85,24
sake,2537,53.85,24
shelf,2538,53.84,24
boost,2539,53.84,24
tail,2540,53.83,24
possession,2541,53.83,24
abortion,2542,53.83,24
curious,2543,53.83,24
wooden,2544,53.82,24
boom,2545,53.82,24
tale,2546,53.82,24
democratic,2547,53.81,24
maintenance,2548,53.8,24
consequently,2549,53.8,24
pot,2550,53.8,24
cow,2551,53.79,24
strengthen,2552,53.79,24
whilst,2553,53.79,24
constraint,2554,53.79,24
fold,2555,53.79,24
bin,2556,53.79,24
undergo,2557,53.79,24
potentially,2558,53.78,24
scope,2559,53.78,24
pretend,2560,53.78,24
diversity,2561,53.77,24
allege,2562,53.77,24
pride,2563,53.76,24
intense,2564,53.76,24
inquiry,2565,53.75,24
resign,2566,53.75,24
craft,2567,53.75,24
strict,2568,53.75,24
concrete,2569,53.74,24
shell,2570,53.74,24
damn,2571,53.72,24
distinct,2572,53.72,24
humor,2573,53.71,24
limitation,2574,53.71,24
indication,2575,53.71,23
stability,2576,53.7,23
wise,2577,53.7,23
neglect,2578,53.7,23
compose,2579,53.7,23
jail,2580,53.7,23
shelter,2581,53.69,23
mere,2582,53.69,23
carbon,2583,53.69,23
regulate,2584,53.69,23
cheese,2585,53.68,23
trigger,2586,53.68,23
pipe,2587,53.67,23
destruction,2588,53.67,23
guitar,2589,53.67,23
flag,2590,53.67,23
piano,2591,53.66,23
magic,2592,53.66,23
mystery,2593,53.66,23
ski,2594,53.66,23
whisper,2595,53.65,23
rear,2596,53.65,23
menu,2597,53.65,23
species,2598,53.64,23
moon,2599,53.64,23
presumably,2600,53.64,23
bless,2601,53.64,23
airline,2602,53.64,23
amendment,2603,53.63,23
grandmother,2604,53.63,23
jury,2605,53.62,23
cooperation,2606,53.62,23
civilian,2607,53.61,23
composition,2608,53.61,23
coin,2609,53.6,23
regardless,2610,53.6,23
scan,2611,53.59,23
bunch,2612,53.59,23
racial,2613,53.58,23
greet,2614,53.58,23
hopefully,2615,53.58,23
sanction,2616,53.58,23
trick,2617,53.58,23
paragraph,2618,53.58,23
maker,2619,53.57,23
chocolate,2620,53.56,23
stimulate,2621,53.56,23
belt,2622,53.56,23
potato,2623,53.55,23
narrative,2624,53.55,23
tissue,2625,53.55,23
barely,2626,53.54,23
invent,2627,53.54,23
tourism,2628,53.54,23
pro,2629,53.53,23
stair,2630,53.53,23
hesitate,2631,53.52,23
shine,2632,53.52,23
motivation,2633,53.52,23
romantic,2634,53.51,22
firmly,2635,53.51,22
interior,2636,53.51,22
stomach,2637,53.51,22
nowhere,2638,53.5,22
pray,2639,53.49,22
championship,2640,53.48,22
servant,2641,53.48,22
immigrant,2642,53.48,22
excess,2643,53.48,22
complexity,2644,53.47,22
liability,2645,53.47,22
surprisingly,2646,53.46,22
extract,2647,53.46,22
implementation,2648,53.45,22
bias,2649,53.44,22
differently,2650,53.44,22
catalog,2651,53.43,22
continuous,2652,53.43,22
golden,2653,53.42,22
stamp,2654,53.42,22
guideline,2655,53.41,22
envelope,2656,53.41,22
knife,2657,53.41,22
biological,2658,53.4,22
consume,2659,53.4,22
luxury,2660,53.39,22
weekly,2661,53.39,22
wherever,2662,53.39,22
bite,2663,53.38,22
printer,2664,53.38,22
firstly,2665,53.38,22
anxious,2666,53.38,22
adventure,2667,53.38,22
fence,2668,53.37,22
exhaust,2669,53.36,22
attraction,2670,53.36,22
ocean,2671,53.36,22
quietly,2672,53.36,22
castle,2673,53.36,22
veteran,2674,53.35,22
reflection,2675,53.35,22
nerve,2676,53.35,22
determination,2677,53.34,22
altogether,2678,53.34,22
fiction,2679,53.33,22
carpet,2680,53.31,21
cluster,2681,53.31,21
confusion,2682,53.29,21
hurry,2683,53.29,21
logic,2684,53.29,21
controversial,2685,53.28,21
raw,2686,53.28,21
grammar,2687,53.26,21
revise,2688,53.26,21
hint,2689,53.26,21
hook,2690,53.25,21
bell,2691,53.25,21
liquid,2692,53.24,21
panic,2693,53.24,21
uncle,2694,53.23,21
rice,2695,53.22,21
slope,2696,53.22,21
happiness,2697,53.21,21
genuine,2698,53.21,21
vessel,2699,53.2,21
verb,2700,53.2,21
reckon,2701,53.19,21
silly,2702,53.18,21
transportation,2703,53.18,21
harbor,2704,53.18,21
comedy,2705,53.17,21
chase,2706,53.17,21
storage,2707,53.16,21
universe,2708,53.16,21
horrible,2709,53.16,21
sheep,2710,53.16,21
lover,2711,53.16,21
rat,2712,53.15,21
portrait,2713,53.15,21
innocent,2714,53.15,21
substitute,2715,53.14,21
supplement,2716,53.14,21
adjustment,2717,53.13,21
reasonably,2718,53.13,21
filter,2719,53.13,21
flexible,2720,53.13,21
abstract,2721,53.12,21
tent,2722,53.11,20
precise,2723,53.11,20
distant,2724,53.1,20
stranger,2725,53.1,20
shade,2726,53.09,20
grain,2727,53.07,20
situate,2728,53.07,20
summarize,2729,53.07,20
leap,2730,53.07,20
snap,2731,53.06,20
probability,2732,53.06,20
leather,2733,53.05,20
uncertainty,2734,53.04,20
swear,2735,53.04,20
refugee,2736,53.03,20
shore,2737,53.02,20
monthly,2738,52.99,20
comprise,2739,52.98,20
stir,2740,52.98,20
excitement,2741,52.96,20
sigh,2742,52.95,20
pregnancy,2743,52.95,20
experimental,2744,52.95,20
institutional,2745,52.94,20
slice,2746,52.94,20
wander,2747,52.94,20
empire,2748,52.93,20
subsequently,2749,52.93,20
gentle,2750,52.91,20
attendance,2751,52.9,19
ownership,2752,52.89,19
qualification,2753,52.89,19
suspend,2754,52.88,19
functional,2755,52.87,19
voluntary,2756,52.86,19
pale,2757,52.86,19
stain,2758,52.86,19
athlete,2759,52.85,19
organic,2760,52.85,19
tongue,2761,52.85,19
server,2762,52.82,19
structural,2763,52.82,19
website,2764,52.82,19
fool,2765,52.81,19
alongside,2766,52.81,19
unite,2767,52.8,19
gently,2768,52.79,19
compute,2769,52.78,19
wipe,2770,52.76,19
weird,2771,52.75,19
gaze,2772,52.74,19
fade,2773,52.73,19
cough,2774,52.73,19
hypothesis,2775,52.71,19
royal,2776,52.69,19
theoretical,2777,52.67,19
curtain,2778,52.67,18
mayor,2779,52.55,18
darkness,2780,52.49,18
aunt,2781,52.45,18
tournament,2782,52.4,17
registration,2783,52.38,17
fragment,2784,52.38,17
listener,2785,52.32,17
immigration,2786,52.28,17
tender,2787,52.12,16
density,2788,52.05,16
ugly,2789,52,16
module,2790,51.85,15
faithfully,2791,51.79,15
autumn,2792,51.75,15
cheek,2793,51.73,15
attachment,2794,51.69,15
holder,2795,51.58,14
solar,2796,51.47,14
grin,2797,50.96,12
rose,2798,50.8,12
noun,2799,50.41,11
fortunate,2800,50.37,11
alright,2801,50.32,11
lazy,2802,50.05,10
hello,2803,49.89,10
hunger,2804,49.7,9
insure,2805,49.65,9
ashamed,2806,49.28,8
found,2807,48.26,7
blog,2808,48.19,7
thirst,2809,44.79,3
